"","Trial","Bath","backmortProp","backmortNum","Location","Predmass","Temp.C","Temp.F","Temp1","Temp2","Pred","Surv","Counter","Observer","Eggs.","Molt.","Dead","Numeaten","Temp2C","Scaledpredmass"
"45","8","7",0.0267275609197224,2.67275609197224,"1",0.0196851851851852,12,53.6,61,61,"Indica",79,"Z","Z","Y","N",21,18.3272439080278,16.1111111111111,0.0213068619171072
"46","8","8",0.0240314175983369,2.40314175983369,"1",0.0196851851851852,4,39.2,57.7,57.7,"Indica",86,"L","L","N","N",14,11.5968582401663,14.2777777777778,0.303662407194821
"47","8","9",0.0438336005568705,4.38336005568705,"1",0.0196851851851852,25,77,79.3,76.5,"Indica",66,"Z","Z","N","N",34,29.616639944313,24.7222222222222,0.00817404585767877
"48","8","12",0.0586863733419418,5.86863733419418,"6",0.0196851851851852,30,86,83.8,85.8,"Indica",7,"Z","Z","Y","N",93,87.1313626658058,29.8888888888889,-0.0443572183800353
"49","8","16",0.0551385195289661,5.51385195289661,"1",0.0196851851851852,27,80.6,86.5,83.8,"Indica",9,"","L","N","N",91,85.4861480471034,28.7777777777778,0.106670166303393
"50","9","2",0.066432499127635,6.6432499127635,"5",0.0196851851851852,32,89.6,90.1,89.8,"Indica",47,"L","L","N","N",53,46.3567500872365,32.1111111111111,0.0213068619171072
"51","9","3",0.0352076801335616,3.52076801335616,"6",0.0196851851851852,20,68,70.2,69.6,"Indica",60,"Z","Z","N","N",40,36.4792319866438,20.8888888888889,0.205166286749107
"52","9","5",0.0204447850935702,2.04447850935702,"2",0.0196851851851852,12,53.6,52.9,52.7,"Indica",47,"L","L","N","N",53,50.955521490643,11.5,0.08697094221425
"53","9","6",0.0501935723986913,5.01935723986913,"6",0.0196851851851852,27,80.6,81.1,80.8,"Indica",34,"L","Z","N","N",66,60.9806427601309,27.1111111111111,0.0541389020656786
"54","9","10",0.0159749351896702,1.59749351896702,"6",0.0196851851851852,4,39.2,44.6,45.1,"Indica",49,"Z","Z","N","N",51,49.402506481033,7.27777777777778,0.362760079462249
"55","9","15",0.0478814245870665,4.78814245870665,"1",0.0196851851851852,25,77,79.9,79.3,"Indica",19,"Z","Z","Y","N",81,76.2118575412934,26.2777777777778,0.165767838570821
"56","9","16",0.0614865870853001,6.14865870853001,"3",0.0196851851851852,30,86,86.7,87.3,"Indica",39,"L","Z","N","N",61,54.85134129147,30.7222222222222,0.08697094221425
