Trial,Bath,Location,Temp.C,Temp.F,Temp1,Temp2,Pred,Surv,Counter,Observer,Eggs?,Molt?
8,3,1,35,95,94.5,95,Copto,43,Z,Z,N,N
8,3,2,35,95,94.5,95,Indica,7,Z,Z,Y,N
8,3,3,35,95,94.5,95,Control,88,Z,Z,N,N
8,3,6,35,95,94.5,95,Buenoa,64,Z,Z,N,N
8,6,1,20,68,69.9,71.4,Control,98,Z,L,N,N
8,6,2,20,68,69.9,71.4,Indica,,Z,L,N,N
8,6,4,20,68,69.9,71.4,Buenoa,62,L,L,N,N
8,6,6,20,68,69.9,71.4,Copto,47,Z,L,N,N
8,7,1,12,53.6,61,,Indica,79,Z,Z,Y,N
8,7,2,12,53.6,61,,Buenoa,98,Z,Z,N,N
8,7,3,12,53.6,61,,Control,100,L,Z,N,N
8,7,4,12,53.6,61,,Copto,97,Z,Z,N,N
8,8,1,4,39.2,57.7,,Indica,86,L,L,N,N
8,8,2,4,39.2,57.7,,Buenoa,88,Z,L,N,N
8,8,4,4,39.2,57.7,,Copto,92,L,L,N,N
8,8,6,4,39.2,57.7,,Control,100,L,L,N,N
8,9,1,25,77,79.3,76.5,Indica,66,Z,Z,N,N
8,9,4,25,77,79.3,76.5,Copto,,L,Z,N,N
8,9,5,25,77,79.3,76.5,Control,95,L,Z,N,N
8,9,6,25,77,79.3,76.5,Buenoa,,Z,Z,N,N
8,11,1,32,89.6,89.8,90.1,Control,91,Z,Z,N,N
8,11,2,32,89.6,89.8,90.1,Buenoa,71,Z,Z,N,N
8,11,3,32,89.6,89.8,90.1,Copto,86,L,Z,N,N
8,11,4,32,89.6,89.8,90.1,Indica,,Z,Z,N,N
8,12,2,30,86,83.8,85.8,Buenoa,57,Z,Z,N,N
8,12,4,30,86,83.8,85.8,Control,93,L,Z,N,N
8,12,5,30,86,83.8,85.8,Copto,67,Z,Z,N,N
8,12,6,30,86,83.8,85.8,Indica,7,Z,Z,Y,N
8,16,1,27,80.6,86.5,83.8,Indica,9,,L,N,N
8,16,3,27,80.6,86.5,83.8,Copto,96,,L,N,N
8,16,4,27,80.6,86.5,83.8,Control,98,,L,N,N
8,16,6,27,80.6,86.5,83.8,Buenoa,,,L,N,N
