trial,bath,location,temp,pred,surv
8,7,1,16.11,Indica,79
2,10,3,33.61,Irrorata,80
3,9,1,28.89,Control,80
3,10,3,12.28,Buenoa,80
4,10,3,12.22,Buenoa,80
5,3,5,19.50,Pachy,80
5,13,3,25.11,Copto,80
5,13,5,25.11,Buenoa,80
7,3,5,34.28,Buenoa,80
9,3,3,20.89,Pachy,80
1,14,3,24.89,Irrorata,81
3,10,2,12.28,Irrorata,81
4,5,2,19.22,Buenoa,81
6,5,3,8.11,Pachy,81
7,8,1,26.00,Pachy,81
9,10,5,7.28,Buenoa,81
1,9,4,8.78,Indica,82
3,10,1,12.28,Copto,82
4,7,1,30.39,Pachy,82
6,3,2,31.28,Irrorata,82
1,13,4,20.50,Copto,83
5,12,6,29.89,Buenoa,83
7,8,6,26.00,Irrorata,83
1,14,5,24.89,Copto,84
3,9,5,28.89,Irrorata,84
1,14,6,24.89,Buenoa,85
5,6,3,33.72,Control,85
6,4,2,19.61,Copto,85
2,13,5,19.89,Irrorata,86
3,13,1,32.89,Irrorata,86
8,8,1,14.28,Indica,86
8,11,3,32.28,Copto,86
1,4,5,11.72,Copto,87
3,10,4,12.28,Irrorata,87
3,16,4,25.11,Buenoa,87
4,10,2,12.22,Indica,87
5,1,5,7.78,Tramea,87
7,11,4,11.72,Buenoa,87
3,2,2,26.78,Irrorata,88
5,9,3,17.39,Buenoa,88
5,15,2,33.61,Control,88
7,2,4,31.39,Irrorata,88
8,3,3,35.00,Control,88
8,8,2,14.28,Buenoa,88
2,9,2,9.22,Buenoa,89
2,9,5,9.22,Irrorata,89
4,5,6,19.22,Tramea,89
5,10,2,24.28,Pachy,89
6,5,4,8.11,Buenoa,89
1,1,3,33.22,Irrorata,90
2,9,4,9.22,Control,90
2,11,2,26.28,Irrorata,90
4,6,6,30.39,Control,90
4,7,5,30.39,Control,90
5,2,1,29.78,Irrorata,90
7,5,6,7.61,Irrorata,90
7,6,1,20.11,Copto,90
7,6,6,20.11,Buenoa,90
7,11,5,11.72,Copto,90
7,13,2,30.11,Pachy,90
7,13,4,30.11,Indica,90
7,15,1,27.89,Pachy,90
2,2,4,24.28,Irrorata,91
2,9,1,9.22,Copto,91
5,16,4,34.39,Control,91
7,2,6,31.39,Indica,91
8,11,1,32.28,Control,91
1,15,2,30.50,Irrorata,92
2,9,6,9.22,Pachy,92
3,13,6,32.89,Control,92
3,14,6,7.78,Control,92
3,16,1,25.11,Control,92
6,8,6,34.89,Control,92
8,8,4,14.28,Copto,92
9,5,1,11.50,Copto,92
9,5,3,11.50,Pachy,92
9,10,3,7.28,Copto,92
1,4,1,11.72,Irrorata,93
2,2,6,24.28,Control,93
3,10,5,12.28,Control,93
4,12,5,12.11,Copto,93
5,7,1,32.00,Control,93
5,11,4,12.11,Pachy,93
6,5,1,8.11,Copto,93
6,12,3,34.72,Control,93
7,5,2,7.61,Indica,93
7,11,1,11.72,Indica,93
8,12,4,29.89,Control,93
9,4,2,34.28,Control,93
1,13,5,20.50,Control,94
1,16,4,27.11,Control,94
5,4,2,26.50,Indica,94
5,12,4,29.89,Control,94
9,5,4,11.50,Control,94
1,15,3,30.50,Control,95
2,3,5,28.67,Control,95
4,1,4,32.00,Control,95
4,8,3,32.00,Control,95
4,10,1,12.22,Tramea,95
5,5,4,8.11,Control,95
5,16,3,34.39,Irrorata,95
6,8,1,34.89,Irrorata,95
7,5,5,7.61,Buenoa,95
7,8,2,26.00,Indica,95
7,11,3,11.72,Control,95
7,15,3,27.89,Control,95
8,9,5,24.72,Control,95
1,4,4,11.72,Control,96
1,9,3,8.78,Buenoa,96
2,2,1,24.28,Pachy,96
3,6,1,19.28,Control,96
3,14,3,7.78,Copto,96
4,7,3,30.39,Tramea,96
4,10,5,12.22,Control,96
5,2,2,29.78,Control,96
5,3,6,19.50,Irrorata,96
5,10,5,24.28,Irrorata,96
5,15,5,33.61,Pachy,96
7,5,1,7.61,Copto,96
8,16,3,28.78,Copto,96
9,3,5,20.89,Control,96
9,15,5,26.28,Control,96
1,4,2,11.72,Buenoa,97
1,16,5,27.11,Irrorata,97
2,3,3,28.67,Pachy,97
2,11,6,26.28,Control,97
3,14,1,7.78,Irrorata,97
5,11,5,12.11,Irrorata,97
6,5,6,8.11,Pachy,97
7,3,2,34.28,Control,97
7,11,2,11.72,Irrorata,97
7,13,6,30.11,Irrorata,97
8,7,4,16.11,Copto,97
9,16,4,30.72,Control,97
1,1,6,33.22,Control,98
1,13,1,20.50,Irrorata,98
2,13,1,19.89,Control,98
3,14,4,7.78,Buenoa,98
3,14,5,7.78,Irrorata,98
3,16,6,25.11,Irrorata,98
5,3,2,19.50,Control,98
5,4,5,26.50,Control,98
5,5,5,8.11,Pachy,98
5,8,5,19.61,Control,98
5,9,6,17.39,Tramea,98
5,11,3,12.11,Control,98
5,13,4,25.11,Control,98
5,14,2,26.89,Control,98
6,3,1,31.28,Pachy,98
6,5,5,8.11,Control,98
7,5,3,7.61,Pachy,98
7,8,3,26.00,Control,98
7,11,6,11.72,Pachy,98
8,6,1,21.89,Control,98
8,7,2,16.11,Buenoa,98
8,16,4,28.78,Control,98
3,2,6,26.78,Control,99
4,4,1,26.89,Control,99
4,5,1,19.22,Control,99
4,12,4,12.11,Control,99
5,1,2,7.78,Control,99
5,5,2,8.11,Irrorata,99
5,9,4,17.39,Control,99
6,3,3,31.28,Control,99
6,4,1,19.61,Control,99
7,5,4,7.61,Control,99
9,6,4,27.11,Control,99
1,14,4,24.89,Control,100
4,12,3,12.11,Tramea,100
4,12,6,12.11,Pachy,100
4,14,1,20.72,Control,100
5,10,6,24.28,Control,100
7,6,4,20.11,Control,100
7,15,4,27.89,Irrorata,100
8,7,3,16.11,Control,100
8,8,6,14.28,Control,100
9,2,4,32.11,Control,100
1,9,2,8.78,Copto,101
7,13,3,30.11,Control,101
7,16,4,34.72,Control,101
3,16,3,25.11,Irrorata,102
7,2,5,31.39,Control,102
1,9,6,8.78,Control,104
